genid,id,name,cpu,mem,memperc,netin,netout,blockin,blockout,image,detuser,ip,date
8c6fc78d-96f8-4def-a172-0a9a91240bb7,ec57bac4e511,ecstatic_ride,0.23,4.2677e+08,1.28,7.54975e+07,5.24288e+06,1.36315e+08,1.04858e+06,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clhumaira,172.27.40.102,2024-04-23 19:29:54
9f798f5f-5966-4b9d-87a5-c1e6fae12a44,da51b13c49c2,pedantic_wiles,11.91,1.06535e+09,3.18,1.05906e+08,2.93601e+07,3.79585e+08,1.09052e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,admin,172.27.40.102,2024-04-23 19:29:54
e072efa1-edfe-4fb0-b1ba-9e261ee6a633,5e1d18f2d053,objective_black,3.39,1.07374e+09,4.39,9.43718e+07,9.01775e+07,2.01327e+08,2.7263e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clalonsogarcia,172.27.40.102,2024-04-23 19:29:54
d453633c-1eb4-40c7-aa9c-831fb8c08331,db2514bd2f7c,pensive_kapitsa,0.1,1.07374e+09,3.46,3.28204e+08,1.04438e+09,3.3135e+08,1.66724e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,cladria,172.27.40.102,2024-04-23 19:29:54
c572e628-50c0-4c04-bc00-06abdb0c9078,1c2e250005e4,pensive_nobel,0.01,2.4327e+08,0.73,1.30023e+08,3.25059e+07,3.10378e+08,6.50117e+07,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clariadna,172.27.40.102,2024-04-23 19:29:54
25fb2ef9-f90b-4a2f-80a0-c0c13243c5fd,f9e7b2212f7d,dazzling_maxwell,0.66,7.51619e+09,24.87,2.62144e+08,6.08174e+07,4.84442e+08,1.67772e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clchristina,172.27.40.102,2024-04-23 19:29:54
39f3d68a-1725-44cb-ad43-1035888c5b44,ec57bac4e511,ecstatic_ride,0.24,4.25722e+08,1.27,7.54975e+07,5.24288e+06,1.36315e+08,1.04858e+06,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clhumaira,172.27.40.102,2024-04-23 19:33:11
a0d14cff-faad-4c67-9dd8-415a607426d2,da51b13c49c2,pedantic_wiles,8.49,1.07374e+09,3.3,1.06955e+08,2.93601e+07,3.79585e+08,1.09052e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,admin,172.27.40.102,2024-04-23 19:33:11
e7378a69-8b75-412c-8af9-838f2f988458,5e1d18f2d053,objective_black,7.67,1.07374e+09,4.38,9.43718e+07,9.01775e+07,2.01327e+08,2.7263e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clalonsogarcia,172.27.40.102,2024-04-23 19:33:11
d2bbf11f-eb25-43bf-a0a0-737cca7e3008,db2514bd2f7c,pensive_kapitsa,0.16,1.07374e+09,3.46,3.28204e+08,1.04438e+09,3.3135e+08,1.66724e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,cladria,172.27.40.102,2024-04-23 19:33:11
